시,구,인구,년도
서울특별시,종로구,144683,2021
서울특별시,중구,122499,2021
서울특별시,용산구,222953,2021
서울특별시,성동구,285990,2021
서울특별시,광진구,339996,2021
서울특별시,동대문구,337400,2021
서울특별시,중랑구,387350,2021
서울특별시,성북구,430528,2021
서울특별시,강북구,299182,2021
서울특별시,도봉구,317366,2021
서울특별시,노원구,510956,2021
서울특별시,은평구,473307,2021
서울특별시,서대문구,304819,2021
서울특별시,마포구,368905,2021
서울특별시,양천구,447302,2021
서울특별시,강서구,574315,2021
서울특별시,구로구,396754,2021
서울특별시,금천구,230811,2021
서울특별시,영등포구,376837,2021
서울특별시,동작구,385483,2021
서울특별시,관악구,485699,2021
서울특별시,서초구,412279,2021
서울특별시,강남구,533042,2021
서울특별시,송파구,658338,2021
서울특별시,강동구,462664,2021
서울특별시,종로구,141379,2022
서울특별시,중구,120437,2022
서울특별시,용산구,218650,2022
서울특별시,성동구,281000,2022
서울특별시,광진구,337416,2022
서울특별시,동대문구,336644,2022
서울특별시,중랑구,385318,2022
서울특별시,성북구,430397,2022
서울특별시,강북구,293660,2022
서울특별시,도봉구,311694,2022
서울특별시,노원구,503734,2022
서울특별시,은평구,466746,2022
서울특별시,서대문구,306337,2022
서울특별시,마포구,364638,2022
서울특별시,양천구,440881,2022
서울특별시,강서구,569166,2022
서울특별시,구로구,395315,2022
서울특별시,금천구,229642,2022
서울특별시,영등포구,375675,2022
서울특별시,동작구,380596,2022
서울특별시,관악구,486752,2022
서울특별시,서초구,404325,2022
서울특별시,강남구,529102,2022
서울특별시,송파구,658801,2022
서울특별시,강동구,460067,2022
서울특별시,종로구,139417,2023
서울특별시,중구,121312,2023
서울특별시,용산구,213151,2023
서울특별시,성동구,277361,2023
서울특별시,광진구,335554,2023
서울특별시,동대문구,341149,2023
서울특별시,중랑구,382155,2023
서울특별시,성북구,425602,2023
서울특별시,강북구,288113,2023
서울특별시,도봉구,306948,2023
서울특별시,노원구,498213,2023
서울특별시,은평구,466770,2023
서울특별시,서대문구,306231,2023
서울특별시,마포구,363697,2023
서울특별시,양천구,436028,2023
서울특별시,강서구,563058,2023
서울특별시,구로구,392405,2023
서울특별시,금천구,227481,2023
서울특별시,영등포구,374794,2023
서울특별시,동작구,378769,2023
서울특별시,관악구,481956,2023
서울특별시,서초구,407664,2023
서울특별시,강남구,544873,2023
서울특별시,송파구,654166,2023
서울특별시,강동구,459167,2023
