시구,인구,년도
수원시 장안구,280100,2021
수원시 권선구,372772,2021
수원시 팔달구,193866,2021
수원시 영통구,370227,2021
용인시 처인구,269358,2021
용인시 기흥구,445924,2021
용인시 수지구,378383,2021
성남시 수정구,244892,2021
성남시 중원구,213309,2021
성남시 분당구,486836,2021
화성시,922092,2021
부천시,829846,2021
안산시 상록구,362992,2021
안산시 단원구,337146,2021
평택시,588046,2021
안양시 만안구,242865,2021
안양시 동안구,310384,2021
시흥시,543553,2021
김포시,504267,2021
광주시,398225,2021
광명시,296471,2021
하남시,322271,2021
군포시,274100,2021
오산시,238579,2021
이천시,229854,2021
안성시,200408,2021
의왕시,164363,2021
양평군,122539,2021
여주시,115317,2021
과천시,73528,2021
고양시 덕양구,487198,2021
고양시 일산동구,302609,2021
고양시 일산서구,300532,2021
남양주시,740856,2021
파주시,493503,2021
의정부시,468339,2021
양주시,243071,2021
구리시,193351,2021
포천시,160209,2021
동두천시,96860,2021
가평군,63268,2021
연천군,43553,2021
수원시 장안구,277006,2022
수원시 권선구,376165,2022
수원시 팔달구,203675,2022
수원시 영통구,368212,2022
용인시 처인구,268839,2022
용인시 기흥구,442947,2022
용인시 수지구,380508,2022
성남시 수정구,239695,2022
성남시 중원구,212973,2022
성남시 분당구,484321,2022
화성시,949187,2022
부천시,814315,2022
안산시 상록구,358641,2022
안산시 단원구,332136,2022
평택시,603780,2022
안양시 만안구,238923,2022
안양시 동안구,315424,2022
시흥시,546051,2022
김포시,504107,2022
광주시,402764,2022
광명시,291160,2022
하남시,328393,2022
군포시,271745,2022
오산시,238418,2022
이천시,230134,2022
안성시,200932,2022
의왕시,161204,2022
양평군,123704,2022
여주시,116652,2022
과천시,78329,2022
고양시 덕양구,494685,2022
고양시 일산동구,300151,2022
고양시 일산서구,293317,2022
남양주시,745116,2022
파주시,507448,2022
의정부시,468659,2022
양주시,250920,2022
구리시,190210,2022
포천시,160066,2022
동두천시,95100,2022
가평군,63235,2022
연천군,43050,2022
수원시 장안구,277645,2023
수원시 권선구,375574,2023
수원시 팔달구,208791,2023
수원시 영통구,371421,2023
용인시 처인구,272317,2023
용인시 기흥구,441529,2023
용인시 수지구,380715,2023
성남시 수정구,246470,2023
성남시 중원구,213537,2023
성남시 분당구,475959,2023
화성시,989676,2023
부천시,806356,2023
안산시 상록구,350097,2023
안산시 단원구,331432,2023
평택시,619844,2023
안양시 만안구,235514,2023
안양시 동안구,315598,2023
시흥시,556903,2023
김포시,508800,2023
광주시,404270,2023
광명시,283124,2023
하남시,332359,2023
군포시,267009,2023
오산시,239159,2023
이천시,231265,2023
안성시,202849,2023
의왕시,159932,2023
양평군,126741,2023
여주시,118536,2023
과천시,81219,2023
고양시 덕양구,501514,2023
고양시 일산동구,295906,2023
고양시 일산서구,290187,2023
남양주시,740780,2023
파주시,511530,2023
의정부시,469936,2023
양주시,276660,2023
구리시,188634,2023
포천시,157992,2023
동두천시,92414,2023
가평군,63488,2023
연천군,42768,2023
