"신용or체크(신용20, 체크 17)",카드명,혜택(할인),혜택(캐시백),혜택(편의),혜택(생활),혜택(독서),혜택(테마파크),혜택(특이사항),실적,혜택(공항),연회비,특이사항,링크,x_score,y_score,연회비(정수)
iM뱅크 (신용),iM 스카이패스 카드 V2 Silver,,1천원당 대한항공 1 마일리지 적립,,,,,,,"[대한항공 마일리지 적립 서비스]
국내외 가맹점 이용금액 1천원당 1마일리지 적립
전월 이용금액 30만원 이상 시 적립 서비스 제공
적립 한도 없음
해외 가맹점 이용 시 별도의 수수료가 부과되며, 자세한 내용은 ‘해외 이용 안내’ 참고","국내전용(BC)/국내외겸용(Mastercard): 19,000원
(기본연회비 0원+제휴연회비 19,000원)",,,-20,0,19000
iM뱅크 (신용),iM 스카이패스 카드 V2 Gold,,1천원당 대한항공 최대 2마일리지 적립에 공항라운지 무료 혜택까지,,,,,,,"국내전용(BC)/국내외겸용(Mastercard): 35,000원
(기본연회비 0원+제휴연회비 35,000원)",,,,-20,30,35000
iM뱅크 (신용),iM i 카드,,온라인쇼핑·배달앱·커피·편의점·이동통신 10% 할인,,,,,,,,"국내전용(BC)/국내외겸용(Mastercard):1만원
(기본연회비 0원+제휴연회비 1만원)",,,0,0,10000
iM뱅크 (신용),iM 세븐캐쉬백카드,,3만원 이상 일시불 이용 시 7% 할인,,,,,,"전월실적        30만원이상        60만원이상        120만원이상
월간캐쉬백한도        1만원        2만원        4만원",,"BC(국내전용) : 1만원, Master(해외겸용) : 1만 2천원",,,10,0,10000
iM뱅크 (신용),부자되세요 홈쇼핑카드,,6대 홈쇼핑 이용액의 6% 할인,,"패밀리레스토랑 10% 청구할인

베이커리 10% 청구할인

커피 10% 청구할인

영화 3,000원 청구할인",,,,,,"CUP : 5천원(기본연회비 2천원 + 제휴연회비 3천원)
VISA : 8천원(기본연회비 5천원 + 제휴연회비 3천원)",,,0,-30,5000
iM뱅크 (신용),iM UntacT 카드,"언택트 전용 할인 혜택
","간편결제	10%	
배달 앱	10%	
스트리밍	30%",,,,,,,,"국내전용(BC)/국내외겸용(Mastercard) :본인카드 10,000원(기본연회비 0원+제휴연회비 10,000원) /가족카드 10,000원(기본연회비 0원+제휴연회비 10,000원) *국내전용과 국내외겸용 연회비 동일",,,0,-10,10000
iM뱅크 (신용),iM Pet Love 카드,,"반려동물병원 20%, 반려동물 업종 10% 할인",,"홈플러스, 이마트, 롯데마트 5~10% 청구할인
외식할인	
아웃백, TGIF 20% 청구할인

영화할인	
CGV 3,000~6,000원 영화할인

커피할인	
Sleepless in Seattle 상시 10% 청구할인",,,,,,"	BC Global:2천원, Master:5천원
2차년도부터 전년도 국내 신용구매금액 1백만원이상 이용시 면제",,,0,-30,2000
iM뱅크 (신용),iM 올레 Super DC 카드,kt 통신비 할인 Super DC,Kt 통신료 월 7천원 ~ 1만5천원 청구할인,슬립리스인시애틀 10% 청구할인,,,,,,,"CUP : 제휴연회비 8천원 (기본연회비 없음)
VISA : 제휴연회비 1만3천원 (기본연회비 없음)",,,0,-40,8000
iM뱅크 (신용),그린카드 v2,대중교통 최대 20% 에코머니 적립,"국내 가맹점 이용금액 0.1% ~ 1.0% 에코머니 포인트 적립
국내가맹점 이용금액의 최대 0.8% 에코머니 포인트 적립",,"버스, 지하철 10% ~ 20% 에코머니 포인트 적립
온라인 쇼핑 5% 에코머니 포인트 적립
생활요금 자동이체 5% 에코머니 포인트 적립
온라인 영화예매(CGV, 롯데시네마) 2,000원 청구할인",,,,,,"	BC(국내전용):1만원, Master(해외겸용):1만2천원",,,-20,0,10000
"iM뱅크 (신용)
(20개)",대백-iM뱅크 카드(블랙),대구백화점 5% 할인,,"전국 모든 주유소(LPG포함) 이용시 리터당 60원할인(청구할인)
대구백화점 매출 2~3개월 무이자할부(백화점내 일부 임대매장 제외)
주요 놀이공원 무료입장 및 최대 50% 할인
전국 주요 영화관 2,000원 현장할인(월2회,연12회)
대구백화점 5%할인(현장할인) 전자쿠폰 제공
",,,,,,,"BC(국내전용):2,000원
VISA(해외겸용):5,000원",2차년도부터 전년도 연간 총 이용실적 300만원 이상 시 면제,,0,-40,2000
